iter	Logloss
0	0.6858112763
1	0.6785123166
2	0.6728719905
3	0.667206437
4	0.6611630729
5	0.6553668198
6	0.6487976748
7	0.642895558
8	0.6369435848
9	0.6307594849
10	0.624220838
11	0.6180769151
12	0.6125256221
13	0.6067237841
14	0.6007768562
15	0.5956510432
16	0.5903016623
17	0.5858954738
18	0.5802720104
19	0.5757173973
20	0.5712576097
21	0.5665664711
22	0.56162634
23	0.556984126
24	0.5522598255
25	0.5478647399
26	0.5435015248
27	0.5399278659
28	0.5356919327
29	0.5315832454
30	0.5273510043
31	0.5230917311
32	0.5195324737
33	0.515158256
34	0.5116959322
35	0.5075532182
36	0.5044307681
37	0.5005205121
38	0.4963858575
39	0.493547064
40	0.4907617527
41	0.4877072852
42	0.4838045873
43	0.4808671991
44	0.4778308772
45	0.4751778226
46	0.4722941908
47	0.4691044673
48	0.4662080369
49	0.463054739
50	0.45995534
51	0.4563878809
52	0.453895898
53	0.4507230385
54	0.4481976957
55	0.4459071938
56	0.4435198269
57	0.4410281179
58	0.438261599
59	0.4350910484
60	0.4329036173
61	0.4306283383
62	0.4284621734
63	0.4265584349
64	0.4236682777
65	0.4213918916
66	0.4186580791
67	0.4167432033
68	0.4144294699
69	0.4125032435
70	0.410558799
71	0.4084839959
72	0.406492347
73	0.4045080177
74	0.4026002238
75	0.4008765863
76	0.3990370461
77	0.3971355775
78	0.3950218612
79	0.3931969356
80	0.3909234475
81	0.3893395341
82	0.3875880346
83	0.3854204836
84	0.3837943261
85	0.3821672649
86	0.3804842248
87	0.3790614837
88	0.3776628684
89	0.376275643
90	0.3744922881
91	0.3726596931
92	0.3707811322
93	0.3693322465
94	0.3680654256
95	0.3664641718
96	0.3649145597
97	0.3631312495
98	0.3618337898
99	0.3604517763
100	0.3590635409
101	0.3576902533
102	0.3560654287
103	0.3544654345
104	0.3532558545
105	0.351965356
106	0.3504625063
107	0.3493340498
108	0.347828005
109	0.346332296
110	0.3449295652
111	0.3436026529
112	0.342273738
113	0.340825276
114	0.3394001166
115	0.3383308661
116	0.3369486416
117	0.3356153134
118	0.3343016019
119	0.333334756
120	0.3322196531
121	0.3312148528
122	0.3300453278
123	0.3292113411
124	0.3280006652
125	0.3271830238
126	0.3263511488
127	0.3253641629
128	0.3241983481
129	0.3231464232
130	0.3219997472
131	0.3210025533
132	0.3199211642
133	0.319035499
134	0.3180627848
135	0.3173444339
136	0.316502465
137	0.315501927
138	0.3144078386
139	0.3135091588
140	0.3125241013
141	0.3118181562
142	0.3111305547
143	0.3102941482
144	0.3093005852
145	0.3084530704
146	0.307575869
147	0.3066412869
148	0.3057573345
149	0.3051003454
150	0.3044771539
151	0.303767815
152	0.3028663867
153	0.3021200332
154	0.3013582527
155	0.3004857264
156	0.2996672554
157	0.2990294909
158	0.298439069
159	0.2979006197
160	0.2971840346
161	0.296380937
162	0.2956785003
163	0.2951820646
164	0.2945733282
165	0.2938630383
166	0.2930821358
167	0.292471122
168	0.291688414
169	0.2911232366
170	0.2904777169
171	0.2897359522
172	0.2890451826
173	0.2885179994
174	0.2878412535
175	0.2872950967
176	0.2866360977
177	0.2860607065
178	0.285563196
179	0.2849682483
180	0.2843524558
181	0.2837204095
182	0.2831408259
183	0.2826871292
184	0.2821885547
185	0.2815959094
186	0.2810181031
187	0.2804940837
188	0.2800146041
189	0.2794441802
190	0.2788897992
191	0.2784324319
192	0.2779105064
193	0.277399719
194	0.2769755656
195	0.2764992448
196	0.2760974591
197	0.2756845727
198	0.2751994132
199	0.2747065172
200	0.2742605107
201	0.2738248584
202	0.2733502164
203	0.2729504045
204	0.2724922008
205	0.2720133697
206	0.2715743912
207	0.2712187834
208	0.2707462512
209	0.2703816925
210	0.2699450343
211	0.2694976424
212	0.2691347865
213	0.2687277873
214	0.2683019596
215	0.2679730616
216	0.2676863948
217	0.2673729093
218	0.2669900114
219	0.2665939724
220	0.2662763291
221	0.2659289553
222	0.265537808
223	0.2652179484
224	0.2648334343
225	0.2644861566
226	0.2640956518
227	0.2637907027
228	0.2634986525
229	0.2631806662
230	0.2628618205
231	0.2624992109
232	0.262142682
233	0.2618532405
234	0.2614895423
235	0.2611519411
236	0.2608048567
237	0.2603583961
238	0.2600571515
239	0.2597957349
240	0.259474029
241	0.2591464552
242	0.2588660748
243	0.2585891078
244	0.2582976656
245	0.2579303105
246	0.257630807
247	0.2573105963
248	0.2570039438
249	0.2567337236
250	0.2563973755
251	0.2561157453
252	0.2558179746
253	0.2555165507
254	0.2552084835
255	0.2549581039
256	0.2546849073
257	0.2544361031
258	0.2541537874
259	0.2538855838
260	0.2536167224
261	0.2533689637
262	0.2531028914
263	0.252857619
264	0.2526348404
265	0.252408571
266	0.2521382386
267	0.2519107297
268	0.2516896255
269	0.2514531958
270	0.2512173644
271	0.2510007214
272	0.2507382438
273	0.2504852926
274	0.2502381922
275	0.2499621312
276	0.2497309045
277	0.2495071463
278	0.2493132946
279	0.2490863282
280	0.2488244228
281	0.2486473926
282	0.2484289069
283	0.2481920216
284	0.2479959828
285	0.2478159168
286	0.24756679
287	0.2473366661
288	0.2471556642
289	0.2469600222
290	0.2467783679
291	0.2465854423
292	0.2463584314
293	0.2461169564
294	0.2459056221
295	0.2457382057
296	0.2455693846
297	0.2453817791
298	0.2451458976
299	0.2449779583
300	0.2448203602
301	0.2446448129
302	0.2444734224
303	0.2443018847
304	0.2441058735
305	0.2439131984
306	0.2436963916
307	0.2435424358
308	0.2433214239
309	0.2431182293
310	0.2429394834
311	0.242798569
312	0.2426397835
313	0.2424686634
314	0.2423171101
